date_utc,weather_code,sunrise,sunset,daylight_duration,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,temperature_2m_max,temperature_2m_min
2023-01-01 00:00:00+00:00,71.0,2023-01-01 08:33:47+00:00,2023-01-01 15:54:15+00:00,26427.2,1.2,15.500001,15.300001,0.14,17.0,6.5,3.65
2023-01-02 00:00:00+00:00,73.0,2023-01-02 08:33:32+00:00,2023-01-02 15:55:25+00:00,26512.033,3.0,2.5,2.1999998,0.21000001,3.0,4.1,-1.4
2023-01-03 00:00:00+00:00,61.0,2023-01-03 08:33:13+00:00,2023-01-03 15:56:39+00:00,26604.307,0.76,10.999999,10.999999,0.0,17.0,9.95,0.4
2023-01-04 00:00:00+00:00,61.0,2023-01-04 08:32:51+00:00,2023-01-04 15:57:56+00:00,26703.76,1.14,10.800001,10.800001,0.0,20.0,10.5,7.35
2023-01-05 00:00:00+00:00,61.0,2023-01-05 08:32:25+00:00,2023-01-05 15:59:16+00:00,26810.143,0.79,10.3,10.3,0.0,21.0,9.4,6.55
2023-01-06 00:00:00+00:00,51.0,2023-01-06 08:31:56+00:00,2023-01-06 16:00:40+00:00,26923.197,2.6,1.0,1.0,0.0,5.0,8.55,5.55
2023-01-07 00:00:00+00:00,61.0,2023-01-07 08:31:23+00:00,2023-01-07 16:02:06+00:00,27042.676,1.13,11.800001,11.800001,0.0,16.0,9.85,5.1
2023-01-08 00:00:00+00:00,73.0,2023-01-08 08:30:46+00:00,2023-01-08 16:03:36+00:00,27168.31,0.94,10.5,10.0,0.35,16.0,6.0,2.3
2023-01-09 00:00:00+00:00,61.0,2023-01-09 08:30:06+00:00,2023-01-09 16:05:07+00:00,27299.855,2.28,3.2,3.2,0.0,14.0,5.25,3.55
2023-01-10 00:00:00+00:00,73.0,2023-01-10 08:29:23+00:00,2023-01-10 16:06:41+00:00,27437.055,0.49,27.599998,27.3,0.21000001,17.0,10.35,2.45
2023-01-11 00:00:00+00:00,73.0,2023-01-11 08:28:36+00:00,2023-01-11 16:08:17+00:00,27579.66,1.72,6.500001,5.3,0.84000003,10.0,6.15,4.2
2023-01-12 00:00:00+00:00,61.0,2023-01-12 08:27:47+00:00,2023-01-12 16:09:55+00:00,27727.416,2.37,9.5,9.5,0.0,13.0,8.25,3.3
2023-01-13 00:00:00+00:00,53.0,2023-01-13 08:26:54+00:00,2023-01-13 16:11:35+00:00,27880.086,2.65,4.299999,4.299999,0.0,14.0,6.1,3.5
2023-01-14 00:00:00+00:00,73.0,2023-01-14 08:25:57+00:00,2023-01-14 16:13:16+00:00,28037.414,2.16,21.500002,21.100002,0.28,16.0,6.75,3.05
2023-01-15 00:00:00+00:00,73.0,2023-01-15 08:24:58+00:00,2023-01-15 16:14:58+00:00,28199.176,3.43,2.8999999,1.3,1.12,5.0,4.85,-1.1
2023-01-16 00:00:00+00:00,73.0,2023-01-16 08:23:56+00:00,2023-01-16 16:16:42+00:00,28365.129,3.97,2.8999999,0.70000005,1.54,9.0,0.65,-4.95
