simulation_step,elapsed_time_hours,timestamp_iso,time_step_hours,grid_power_mw,solar_power_mw,discharge_power_mw,energy_before_mwh,energy_after_mwh,energy_in_from_grid_mwh,energy_in_from_solar_mwh,energy_in_total_mwh,energy_out_total_mwh,loss_charging_inefficiency_mwh,loss_discharge_inefficiency_mwh,loss_auxiliary_power_mwh,loss_self_discharge_mwh,loss_total_mwh
0,0.0,2026-03-30T09:47:00,0.25,50.0,0.0,0.0,112.0375,112.0375,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.014005,0.464005
1,0.25,2026-03-30T10:02:00,0.25,50.0,0.0,0.0,112.0375,124.073495,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.014005,0.464005
2,0.5,2026-03-30T10:17:00,0.25,50.0,0.0,0.0,124.073495,136.107986,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.015509,0.465509
3,0.75,2026-03-30T10:32:00,0.25,0.0,15.0,0.0,136.107986,139.653473,0.0,3.6375,3.6375,0.0,0.1125,0.0,0.075,0.017013,0.204513
4,1.0,2026-03-30T10:47:00,0.25,50.0,0.0,0.0,139.653473,151.686016,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.017457,0.467457
5,1.25,2026-03-30T11:02:00,0.25,50.0,0.0,0.0,151.686016,163.717055,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.018961,0.468961
6,1.5,2026-03-30T11:17:00,0.25,50.0,0.0,0.0,163.717055,175.746591,12.125,0.0,12.125,0.0,0.375,0.0,0.075,0.020465,0.470465
7,1.75,2026-03-30T11:32:00,0.25,0.0,1.7397389818034694,0.0,175.746591,176.071509,0.0,0.421887,0.421887,0.0,0.013048,0.0,0.075,0.021968,0.110016
8,2.0,2026-03-30T11:47:00,0.25,0.0,16.6,0.0,176.071509,180.0,0.0,4.0255,4.0255,0.0,0.1245,0.0,0.075,0.022009,0.221509
9,2.25,2026-03-30T12:02:00,0.25,0.0,0.0,0.0,180.0,179.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0225,0.0975
10,2.5,2026-03-30T12:17:00,0.25,0.0,0.8040734536082175,0.0,179.9025,180.0,0.0,0.194988,0.194988,0.0,0.006031,0.0,0.075,0.022488,0.103518
11,2.75,2026-03-30T12:32:00,0.25,0.0,0.4020618556701359,0.0,180.0,180.0,0.0,0.0975,0.0975,0.0,0.003015,0.0,0.075,0.0225,0.100515
12,3.0,2026-03-30T12:47:00,0.25,0.0,0.4020618556701359,0.0,180.0,180.0,0.0,0.0975,0.0975,0.0,0.003015,0.0,0.075,0.0225,0.100515
13,3.25,2026-03-30T13:02:00,0.25,0.0,0.0,0.0,180.0,179.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0225,0.0975
14,3.5,2026-03-30T13:17:00,0.25,0.0,0.8040734536082175,0.0,179.9025,180.0,0.0,0.194988,0.194988,0.0,0.006031,0.0,0.075,0.022488,0.103518
15,3.75,2026-03-30T13:32:00,0.25,0.0,0.4020618556701359,0.0,180.0,180.0,0.0,0.0975,0.0975,0.0,0.003015,0.0,0.075,0.0225,0.100515
16,4.0,2026-03-30T13:47:00,0.25,0.0,0.4020618556701359,0.0,180.0,180.0,0.0,0.0975,0.0975,0.0,0.003015,0.0,0.075,0.0225,0.100515
