timestep,price_intraday,solar_MW,P_grid_MW,P_dis_MW,P_sol_bat_MW,P_sol_sell_MW,E_MWh,z_grid,z_solbat,z_dis,q_flag,s_dis,cycle,profit_step,timestamp
1,8.779094036141128,22.5,50.0,0.0,0.0,22.5,112.0375,1,0,0,1,1,0,-61.83774361706907,2026-03-30 09:47:00
2,62.84635358937158,20.45,50.0,0.0,0.0,20.45,124.07349531249997,1,0,0,1,0,0,-473.91649662325244,2026-03-30 10:02:00
3,60.708477137717324,17.6,50.0,0.0,0.0,17.6,136.1079861255859,1,0,0,1,0,0,-499.752183797689,2026-03-30 10:17:00
4,66.75878170387982,15.0,0.0,0.0,15.0,0.0,139.6534726273202,0,1,0,1,0,0,0.0,2026-03-30 10:32:00
5,65.63151863638126,13.75,50.0,0.0,0.0,13.75,151.68601594324176,1,0,0,1,0,0,-601.553888001582,2026-03-30 10:47:00
6,65.44915261015184,13.55,50.0,0.0,0.0,13.55,163.71705519124885,1,0,0,1,0,0,-603.0566732940152,2026-03-30 11:02:00
7,65.08532710850024,14.1,50.0,0.0,0.0,14.1,175.74659055934993,1,0,0,1,0,0,-591.0235841405135,2026-03-30 11:17:00
8,69.33203822134658,15.1,0.0,0.0,1.7397389818034694,13.36026101819653,176.07150893861734,0,1,0,1,0,0,224.62632593348638,2026-03-30 11:32:00
9,69.13091281783042,16.6,0.0,0.0,16.6,0.0,180.0,0,1,0,1,0,0,0.0,2026-03-30 11:47:00
10,70.42741404266886,19.2,0.0,0.0,0.0,19.2,179.9025,1,0,0,1,0,0,327.91003978266616,2026-03-30 12:02:00
11,70.13331449897456,22.05,0.0,0.0,0.8040734536082175,21.245926546391782,180.0,0,1,0,1,0,0,361.33645771280027,2026-03-30 12:17:00
12,71.12386094905399,24.1,0.0,0.0,0.4020618556701359,23.697938144329864,180.0,0,1,0,1,0,0,408.7310479089754,2026-03-30 12:32:00
13,71.37330771933004,24.25,0.0,0.0,0.4020618556701359,23.847938144329863,180.0,0,1,0,1,0,0,412.76076020434994,2026-03-30 12:47:00
14,71.97485011509151,22.6,0.0,0.0,0.0,22.6,179.9025,1,0,0,1,0,0,394.458166055759,2026-03-30 13:02:00
