simulation_step,elapsed_time_hours,timestamp_iso,time_step_hours,grid_power_mw,solar_power_mw,discharge_power_mw,energy_before_mwh,energy_after_mwh,energy_in_from_grid_mwh,energy_in_from_solar_mwh,energy_in_total_mwh,energy_out_total_mwh,loss_charging_inefficiency_mwh,loss_discharge_inefficiency_mwh,loss_auxiliary_power_mwh,loss_self_discharge_mwh,loss_total_mwh
0,0.0,2024-06-15T00:00:00,0.25,10.0,0.0,0.0,150.0,152.28125,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.01875,0.21875
1,0.25,2024-06-15T00:15:00,0.25,10.0,0.0,0.0,152.28125,154.562215,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.019035,0.219035
2,0.5,2024-06-15T00:30:00,0.25,10.0,0.0,0.0,154.562215,156.842895,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.01932,0.21932
3,0.75,2024-06-15T00:45:00,0.25,10.0,0.0,0.0,156.842895,159.123289,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.019605,0.219605
4,1.0,2024-06-15T01:00:00,0.25,10.0,0.0,0.0,159.123289,161.403399,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.01989,0.21989
5,1.25,2024-06-15T01:15:00,0.25,10.0,0.0,0.0,161.403399,163.683223,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.020175,0.220175
6,1.5,2024-06-15T01:30:00,0.25,10.0,0.0,0.0,163.683223,165.962763,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.02046,0.22046
7,1.75,2024-06-15T01:45:00,0.25,10.0,0.0,0.0,165.962763,168.242018,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.020745,0.220745
8,2.0,2024-06-15T02:00:00,0.25,10.0,0.0,0.0,168.242018,170.520987,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.02103,0.22103
9,2.25,2024-06-15T02:15:00,0.25,10.0,0.0,0.0,170.520987,172.799672,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.021315,0.221315
10,2.5,2024-06-15T02:30:00,0.25,10.0,0.0,0.0,172.799672,175.078072,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.0216,0.2216
11,2.75,2024-06-15T02:45:00,0.25,10.0,0.0,0.0,175.078072,177.356188,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.021885,0.221885
12,3.0,2024-06-15T03:00:00,0.25,10.0,0.0,0.0,177.356188,179.634018,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.02217,0.22217
13,3.25,2024-06-15T03:15:00,0.25,10.0,0.0,0.0,179.634018,181.911564,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.022454,0.222454
14,3.5,2024-06-15T03:30:00,0.25,10.0,0.0,0.0,181.911564,184.188825,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.022739,0.222739
15,3.75,2024-06-15T03:45:00,0.25,10.0,0.0,0.0,184.188825,186.465801,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.023024,0.223024
16,4.0,2024-06-15T04:00:00,0.25,10.0,0.0,0.0,186.465801,188.742493,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.023308,0.223308
17,4.25,2024-06-15T04:15:00,0.25,10.0,0.0,0.0,188.742493,191.0189,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.023593,0.223593
18,4.5,2024-06-15T04:30:00,0.25,10.0,0.0,0.0,191.0189,193.295023,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.023877,0.223877
19,4.75,2024-06-15T04:45:00,0.25,10.0,0.0,0.0,193.295023,195.570861,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.024162,0.224162
20,5.0,2024-06-15T05:00:00,0.25,10.0,0.0,0.0,195.570861,197.846415,2.425,0.0,2.425,0.0,0.075,0.0,0.125,0.024446,0.224446
21,5.25,2024-06-15T05:15:00,0.25,0.0,0.0,0.0,197.846415,197.696684,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.024731,0.149731
22,5.5,2024-06-15T05:30:00,0.25,0.0,0.0,0.0,197.696684,197.546972,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.024712,0.149712
23,5.75,2024-06-15T05:45:00,0.25,0.0,0.0,0.0,197.546972,197.397278,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.024693,0.149693
24,6.0,2024-06-15T06:00:00,0.25,40.0,0.0,0.0,197.397278,206.947604,9.7,0.0,9.7,0.0,0.3,0.0,0.125,0.024675,0.449675
25,6.25,2024-06-15T06:15:00,0.25,38.75,4.079861111111105,0.0,206.947604,217.182977,9.396875,0.989366,10.386241,0.0,0.321224,0.0,0.125,0.025868,0.472092
26,6.5,2024-06-15T06:30:00,0.25,37.5,7.986111111111116,0.0,217.182977,228.061211,9.09375,1.936632,11.030382,0.0,0.341146,0.0,0.125,0.027148,0.493294
27,6.75,2024-06-15T06:45:00,0.25,36.25,11.71875,0.0,228.061211,239.540125,8.790625,2.841797,11.632422,0.0,0.359766,0.0,0.125,0.028508,0.513273
28,7.0,2024-06-15T07:00:00,0.25,35.0,15.277777777777773,0.0,239.540125,251.577543,8.4875,3.704861,12.192361,0.0,0.377083,0.0,0.125,0.029943,0.532026
29,7.25,2024-06-15T07:15:00,0.25,33.75,18.663194444444446,0.0,251.577543,264.131296,8.184375,4.525825,12.7102,0.0,0.393099,0.0,0.125,0.031447,0.549546
30,7.5,2024-06-15T07:30:00,0.25,32.5,21.875,0.0,264.131296,270.0,7.88125,5.304688,13.185937,0.0,0.407813,0.0,0.125,0.033016,0.565829
31,7.75,2024-06-15T07:45:00,0.25,31.25,24.913194444444443,0.0,270.0,270.0,7.578125,6.04145,13.619575,0.0,0.421224,0.0,0.125,0.03375,0.579974
32,8.0,2024-06-15T08:00:00,0.25,30.0,27.77777777777778,0.0,270.0,270.0,7.275,6.736111,14.011111,0.0,0.433333,0.0,0.125,0.03375,0.592083
33,8.25,2024-06-15T08:15:00,0.25,28.75,30.46875,0.0,270.0,270.0,6.971875,7.388672,14.360547,0.0,0.444141,0.0,0.125,0.03375,0.602891
34,8.5,2024-06-15T08:30:00,0.25,27.5,32.98611111111111,0.0,270.0,270.0,6.66875,7.999132,14.667882,0.0,0.453646,0.0,0.125,0.03375,0.612396
35,8.75,2024-06-15T08:45:00,0.25,26.25,35.329861111111114,0.0,270.0,270.0,6.365625,8.567491,14.933116,0.0,0.461849,0.0,0.125,0.03375,0.620599
36,9.0,2024-06-15T09:00:00,0.25,25.0,37.5,0.0,270.0,270.0,6.0625,9.09375,15.15625,0.0,0.46875,0.0,0.125,0.03375,0.6275
37,9.25,2024-06-15T09:15:00,0.25,23.75,39.49652777777778,0.0,270.0,270.0,5.759375,9.577908,15.337283,0.0,0.474349,0.0,0.125,0.03375,0.633099
38,9.5,2024-06-15T09:30:00,0.25,22.5,41.31944444444444,0.0,270.0,270.0,5.45625,10.019965,15.476215,0.0,0.478646,0.0,0.125,0.03375,0.637396
39,9.75,2024-06-15T09:45:00,0.25,21.25,42.96875,0.0,270.0,270.0,5.153125,10.419922,15.573047,0.0,0.481641,0.0,0.125,0.03375,0.640391
40,10.0,2024-06-15T10:00:00,0.25,20.0,44.44444444444444,0.0,270.0,270.0,4.85,10.777778,15.627778,0.0,0.483333,0.0,0.125,0.03375,0.642083
41,10.25,2024-06-15T10:15:00,0.25,0.0,45.74652777777778,0.0,270.0,270.0,0.0,11.093533,11.093533,0.0,0.343099,0.0,0.125,0.03375,0.501849
42,10.5,2024-06-15T10:30:00,0.25,0.0,46.875,0.0,270.0,270.0,0.0,11.367188,11.367188,0.0,0.351563,0.0,0.125,0.03375,0.510313
43,10.75,2024-06-15T10:45:00,0.25,0.0,47.82986111111111,0.0,270.0,270.0,0.0,11.598741,11.598741,0.0,0.358724,0.0,0.125,0.03375,0.517474
44,11.0,2024-06-15T11:00:00,0.25,0.0,48.61111111111111,30.0,270.0,270.0,0.0,11.788194,11.788194,7.731959,0.364583,0.231959,0.125,0.03375,0.755292
