simulation_step,elapsed_time_hours,timestamp_iso,time_step_hours,grid_power_mw,solar_power_mw,discharge_power_mw,energy_before_mwh,energy_after_mwh,energy_in_from_grid_mwh,energy_in_from_solar_mwh,energy_in_total_mwh,energy_out_total_mwh,loss_charging_inefficiency_mwh,loss_discharge_inefficiency_mwh,loss_auxiliary_power_mwh,loss_self_discharge_mwh,loss_total_mwh
0,0.0,2026-03-03T22:00:00+00:00,0.25,0.0,0.0,100.00000000000001,150.0,124.083054,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.01875,0.916946
1,0.25,2026-03-03T22:15:00+00:00,0.25,0.0,0.0,100.0,124.083054,98.169348,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.01551,0.913706
2,0.5,2026-03-03T22:30:00+00:00,0.25,0.0,0.0,100.0,98.169348,72.258881,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.012271,0.910467
3,0.75,2026-03-03T22:45:00+00:00,0.25,0.0,0.0,100.0,72.258881,46.351653,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.009032,0.907228
4,1.0,2026-03-03T23:00:00+00:00,0.25,0.0,0.0,59.43833239546896,46.351653,30.901701,0.0,0.0,0.0,15.319158,0.0,0.459575,0.125,0.005794,0.590369
5,1.25,2026-03-03T23:15:00+00:00,0.25,0.0,0.0,0.0,30.901701,30.772838,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003863,0.128863
6,1.5,2026-03-03T23:30:00+00:00,0.25,0.0,0.0,0.0,30.772838,30.643991,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003847,0.128847
7,1.75,2026-03-03T23:45:00+00:00,0.25,0.0,0.0,0.0,30.643991,30.515161,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.00383,0.12883
8,2.0,2026-03-04T00:00:00+00:00,0.25,0.0,0.0,0.0,30.515161,30.386347,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003814,0.128814
9,2.25,2026-03-04T00:15:00+00:00,0.25,0.0,0.0,0.0,30.386347,30.257548,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003798,0.128798
10,2.5,2026-03-04T00:30:00+00:00,0.25,0.0,0.0,0.0,30.257548,30.128766,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003782,0.128782
11,2.75,2026-03-04T00:45:00+00:00,0.25,0.0,0.0,0.0,30.128766,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003766,0.128766
12,3.0,2026-03-04T01:00:00+00:00,0.25,0.5309278350515323,0.0,0.0,30.0,30.0,0.12875,0.0,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
13,3.25,2026-03-04T01:15:00+00:00,0.25,0.5309278350515616,0.0,0.0,30.0,30.0,0.12875,0.0,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
14,3.5,2026-03-04T01:30:00+00:00,0.25,95.55432818638029,0.0,0.0,30.0,53.043175,23.171925,0.0,23.171925,0.0,0.716657,0.0,0.125,0.00375,0.845407
15,3.75,2026-03-04T01:45:00+00:00,0.25,100.0,0.0,0.0,53.043175,77.161544,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.00663,0.88163
16,4.0,2026-03-04T02:00:00+00:00,0.25,100.0,0.0,0.0,77.161544,101.276899,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.009645,0.884645
17,4.25,2026-03-04T02:15:00+00:00,0.25,100.0,0.0,0.0,101.276899,125.389239,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.01266,0.88766
18,4.5,2026-03-04T02:30:00+00:00,0.25,100.0,0.0,0.0,125.389239,149.498566,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.015674,0.890674
19,4.75,2026-03-04T02:45:00+00:00,0.25,100.0,0.0,0.0,149.498566,173.604878,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.018687,0.893687
20,5.0,2026-03-04T03:00:00+00:00,0.25,100.0,0.0,0.0,173.604878,197.708178,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.021701,0.896701
21,5.25,2026-03-04T03:15:00+00:00,0.25,100.0,0.0,0.0,197.708178,221.808464,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.024714,0.899714
22,5.5,2026-03-04T03:30:00+00:00,0.25,100.0,0.0,0.0,221.808464,245.905738,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.027726,0.902726
23,5.75,2026-03-04T03:45:00+00:00,0.25,100.0,0.0,0.0,245.905738,270.0,24.25,0.0,24.25,0.0,0.75,0.0,0.125,0.030738,0.905738
24,6.0,2026-03-04T04:00:00+00:00,0.25,0.0,0.0,0.0,270.0,269.84125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.03375,0.15875
25,6.25,2026-03-04T04:15:00+00:00,0.25,0.0,0.0,0.0,269.84125,269.68252,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.03373,0.15873
26,6.5,2026-03-04T04:30:00+00:00,0.25,-1.8752468077792337e-12,0.0,0.0,269.68252,269.52381,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.03371,0.15871
27,6.75,2026-03-04T04:45:00+00:00,0.25,2.618065762565571,0.0,0.0,269.52381,270.0,0.634881,0.0,0.634881,0.0,0.019635,0.0,0.125,0.03369,0.178326
28,7.0,2026-03-04T05:00:00+00:00,0.25,0.0,0.0,100.00000000009979,270.0,244.068054,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.03375,0.931946
29,7.25,2026-03-04T05:15:00+00:00,0.25,0.0,0.0,100.00000000009818,244.068054,218.13935,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.030509,0.928704
30,7.5,2026-03-04T05:30:00+00:00,0.25,0.0,0.0,100.0,218.13935,192.213886,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.027267,0.925463
31,7.75,2026-03-04T05:45:00+00:00,0.25,0.0,0.0,100.0,192.213886,166.291664,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.024027,0.922223
32,8.0,2026-03-04T06:00:00+00:00,0.25,0.0,0.0,100.0,166.291664,140.372681,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.020786,0.918982
33,8.25,2026-03-04T06:15:00+00:00,0.25,0.0,0.0,100.0,140.372681,114.456939,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.017547,0.915742
34,8.5,2026-03-04T06:30:00+00:00,0.25,0.0,0.0,100.0,114.456939,88.544436,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.014307,0.912503
35,8.75,2026-03-04T06:45:00+00:00,0.25,0.0,0.0,100.0,88.544436,62.635172,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.011068,0.909264
36,9.0,2026-03-04T07:00:00+00:00,0.25,0.0,0.0,100.0,62.635172,36.729147,0.0,0.0,0.0,25.773196,0.0,0.773196,0.125,0.007829,0.906025
37,9.25,2026-03-04T07:15:00+00:00,0.25,0.0,0.0,24.606988742469355,36.729147,30.257548,0.0,0.0,0.0,6.342007,0.0,0.19026,0.125,0.004591,0.319851
38,9.5,2026-03-04T07:30:00+00:00,0.25,0.0,0.0,0.0,30.257548,30.128766,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003782,0.128782
39,9.75,2026-03-04T07:45:00+00:00,0.25,0.0,0.0,0.0,30.128766,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.003766,0.128766
40,10.0,2026-03-04T08:00:00+00:00,0.25,0.0,0.5309278350515616,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
41,10.25,2026-03-04T08:15:00+00:00,0.25,0.0,0.530927835051547,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
42,10.5,2026-03-04T08:30:00+00:00,0.25,0.0,0.5309278350515616,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
43,10.75,2026-03-04T08:45:00+00:00,0.25,0.0,0.5309278350515323,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
44,11.0,2026-03-04T09:00:00+00:00,0.25,0.0,0.5309278350515323,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
45,11.25,2026-03-04T09:15:00+00:00,0.25,0.0,0.5309278350515616,0.0,30.0,30.0,0.0,0.12875,0.12875,0.0,0.003982,0.0,0.125,0.00375,0.132732
46,11.5,2026-03-04T09:30:00+00:00,0.25,0.0,95.55432818638029,0.0,30.0,53.043175,0.0,23.171925,23.171925,0.0,0.716657,0.0,0.125,0.00375,0.845407
47,11.75,2026-03-04T09:45:00+00:00,0.25,0.0,100.0,0.0,53.043175,77.161544,0.0,24.25,24.25,0.0,0.75,0.0,0.125,0.00663,0.88163
48,12.0,2026-03-04T10:00:00+00:00,0.25,0.0,100.0,0.0,77.161544,101.276899,0.0,24.25,24.25,0.0,0.75,0.0,0.125,0.009645,0.884645
49,12.25,2026-03-04T10:15:00+00:00,0.25,0.0,100.0,0.0,101.276899,125.389239,0.0,24.25,24.25,0.0,0.75,0.0,0.125,0.01266,0.88766
